상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
MA010120220800317570,모노씨앤씨,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,컴퓨터 및 주변장치; 소프트웨어 소매업,11,서울특별시,11170,용산구,11170625,한강로동,1117012800,한강로3가,1117012800100160009,1,대지,16,9,서울특별시 용산구 한강로3가 16-9,111703101023,서울특별시 용산구 청파로,74,,1117012800100160009011402,본관,서울특별시 용산구 청파로 74,140749,04372,,3,,126.959564082485,37.5327884965563,11030730,한강로동,11030,용산구
MA010120220800317590,디에이치씨앤씨주,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,컴퓨터 및 주변장치; 소프트웨어 소매업,11,서울특별시,11170,용산구,11170590,용문동,1117012100,용문동,1117012100100010135,1,대지,1,135,서울특별시 용산구 용문동 1-135,111703005018,서울특별시 용산구 새창로,105,,1117012100100010135015980,용문동준빌딩,서울특별시 용산구 새창로 105,140831,04355,,,,126.960251476477,37.5379784937072,11030590,용문동,11030,용산구
MA010120220800289281,강원정삼계탕,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11170,용산구,11170560,원효로1동,1117011200,원효로1가,1117011200100480007,1,대지,48,7,서울특별시 용산구 원효로1가 48-7,111704106263,서울특별시 용산구 원효로89길,13,10,1117011200100480007018393,,서울특별시 용산구 원효로89길 13-10,140846,04316,,,,126.967831248719,37.5404765719822,11030720,원효로1동,11030,용산구
MA010120220808271930,피스피스스튜디오,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11170,용산구,11170685,한남동,1117013100,한남동,1117013100106570123,1,대지,657,123,서울특별시 용산구 한남동 657-123,111704106018,서울특별시 용산구 대사관로11길,30,,1117013100106570123000001,,서울특별시 용산구 대사관로11길 30,140887,04401,,1,,127.00187816297,37.5349307764051,11030740,한남동,11030,용산구
MA010120220800275558,영일전자,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11170,용산구,11170625,한강로동,1117012800,한강로3가,1117012800100160009,1,대지,16,9,서울특별시 용산구 한강로3가 16-9,111703101023,서울특별시 용산구 청파로,74,,1117012800100160009011402,전자랜드,서울특별시 용산구 청파로 74,140749,04372,,2,,126.959564082485,37.5327884965563,11030730,한강로동,11030,용산구
MA010120220800275610,호박,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11170,용산구,11170570,원효로2동,1117011500,산천동,1117011500102020000,1,대지,202,,서울특별시 용산구 산천동 202,111703102007,서울특별시 용산구 원효로,51,,1117011800101790000018287,리버힐삼성아파트,서울특별시 용산구 원효로 51,140040,04359,,,,126.950070999467,37.5338570557418,11030570,원효로2동,11030,용산구
MA010120220800276536,에이스공인중개사,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11170,용산구,11170520,용산2가동,1117010200,용산동2가,1117010200100010723,1,대지,1,723,서울특별시 용산구 용산동2가 1-723,111703102005,서울특별시 용산구 신흥로,128,,1117010200100010724025055,,서울특별시 용산구 신흥로 128,140833,04337,,,,126.98197406249,37.5447413058439,11030520,용산2가동,11030,용산구
MA010120220800276546,이화냉면,,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,11,서울특별시,11170,용산구,11170650,이태원1동,1117013000,이태원동,1117013000104550047,1,대지,455,47,서울특별시 용산구 이태원동 455-47,111704106010,서울특별시 용산구 녹사평대로40나길,1,,1117013000104550047000275,,서울특별시 용산구 녹사평대로40나길 1,140201,04345,,,,126.988029590144,37.5346148343824,11030650,이태원1동,11030,용산구
MA010120220800286228,네꼬재팬,,M1,과학·기술,M112,전문 디자인,M11203,시각 디자인업,M73203,시각 디자인업,11,서울특별시,11170,용산구,11170510,후암동,1117010100,후암동,1117010100101430022,1,대지,143,22,서울특별시 용산구 후암동 143-22,111704106462,서울특별시 용산구 한강대로98길,27,,1117010100101430022027239,,서울특별시 용산구 한강대로98길 27,140900,04333,,1,,126.973553909138,37.5483076762566,11030510,후암동,11030,용산구
MA010120220805398384,배스킨라빈스용산,이마트점,I2,음식,I210,기타 간이,I21008,아이스크림/빙수,I56194,김밥 및 기타 간이 음식점업,11,서울특별시,11170,용산구,11170625,한강로동,1117012800,한강로3가,1117012800100400999,1,대지,40,999,서울특별시 용산구 한강로3가 40-999,111704106418,서울특별시 용산구 한강대로23길,55,,1117012800100400999012887,이마트,서울특별시 용산구 한강대로23길 55,140780,04377,,2,,126.964735959893,37.5297717997901,11030730,한강로동,11030,용산구
MA010120220808522434,제이랑투어,,N1,시설관리·임대,N105,여행사·보조,N10501,여행사,N75210,여행사업,11,서울특별시,11170,용산구,11170530,남영동,1117010400,갈월동,1117010400101010049,1,대지,101,49,서울특별시 용산구 갈월동 101-49,111702005005,서울특별시 용산구 한강대로,259,,1117010400101010049028625,고려에이트리움,서울특별시 용산구 한강대로 259,140807,04322,,10,,126.972413447588,37.5415769511105,11030530,남영동,11030,용산구
MA010120220805000152,비디에이전시,,M1,과학·기술,M112,전문 디자인,M11203,시각 디자인업,M73203,시각 디자인업,11,서울특별시,11170,용산구,11170685,한남동,1117013100,한남동,1117013100101170000,1,대지,117,,서울특별시 용산구 한남동 117,111704106053,서울특별시 용산구 독서당로8길,8,,1117013100101170000006859,명칭없음,서울특별시 용산구 독서당로8길 8,140889,04410,,4,,127.008123170017,37.5307768968962,11030740,한남동,11030,용산구
MA010120220806934933,인포닛,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,11,서울특별시,11170,용산구,11170685,한남동,1117013100,한남동,1117013100106210001,1,대지,621,1,서울특별시 용산구 한남동 621-1,111704106031,서울특별시 용산구 대사관로34길,31,,1117013100106210001006529,,서울특별시 용산구 대사관로34길 31,140887,04410,,2,,127.00595104477,37.5318762479525,11030740,한남동,11030,용산구
MA010120220800277439,브엘세바인테리어,,M1,과학·기술,M112,전문 디자인,M11201,인테리어 디자인업,F42412,도배; 실내 장식 및 내장 목공사업,11,서울특별시,11170,용산구,11170580,효창동,1117011900,효창동,1117011900100050370,1,대지,5,370,서울특별시 용산구 효창동 5-370,111704106549,서울특별시 용산구 효창원로69가길,3,,1117011900100050370017160,상가,서울특별시 용산구 효창원로69가길 3,140897,04318,,1,,126.961358503017,37.5414927611162,11030580,효창동,11030,용산구
