어린이집명,상세주소,시설 위도(좌표값),시설 경도(좌표값),ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
꼬마에디슨 어린이집,서울특별시 성동구 금호동1가 금호로 100 벽산아파트 관리동,37.55192909,127.0271854,11040590,금호1가동,11040,성동구
옥수종합사회복지관 부설 좋은벗방과후교실어린이집,서울특별시 성동구 한림말길 16-5 옥수종합사회복지관 (옥수동),37.54043785,127.012716,11040730,옥수동,11040,성동구
구립 행당어린이집,서울특별시 성동구 행당로 82 한진2차아파트 관리동2층 (행당동),37.55564182,127.0263695,11040570,행당2동,11040,성동구
구립 진터마루어린이집,서울특별시 성동구 둘레3길 18 (성수동1가),37.53871802,127.0474124,11040650,성수1가1동,11040,성동구
튼튼삐아제어린이집,서울특별시 성동구 행당로 75 대림아파트제2관리소2층,37.55735443,127.0285183,11040570,행당2동,11040,성동구
또또 어린이집,"서울특별시 성동구 행당로 82 111동 101호(행당동, 해모로한진타운)",37.55593461,127.0290936,11040570,행당2동,11040,성동구
꼬꼬마 어린이집,"서울특별시 성동구 동호로 100 106동 101호(금호동3가, 두산아파트)",37.54989044,127.0162502,11040720,금호2·3가동,11040,성동구
한양대학교 한양어린이집,서울특별시 성동구 왕십리로 222-1 한양대학교 내,37.55889657,127.0361608,11040560,행당1동,11040,성동구
성동종합사회복지관 부설 방과후 어린이집,서울특별시 성동구 청계천로 506 성동종합사회복지관 부설 방과후어린이집 3층(늘푸른통합교실),37.57046833,127.0338088,11040540,마장동,11040,성동구
구립 단비어린이집,서울특별시 성동구 용답중앙길 49 (용답동),37.56476418,127.0517421,11040700,용답동,11040,성동구
구립 연꽃어린이집,서울특별시 성동구 한림말길 16-5,37.54043785,127.012716,11040730,옥수동,11040,성동구
꿈터 어린이집,서울특별시 성동구 용답중앙길 89-2,37.5623353,127.0551522,11040700,용답동,11040,성동구
구립 한솔어린이집,서울특별시 성동구 왕십리로11길 19 서울숲복합문화체육센터 1층,37.54886754,127.041671,11040660,성수1가2동,11040,성동구
예지어린이집,서울특별시 성동구 마장로27가길 15,37.56691832,127.0352515,11040540,마장동,11040,성동구
한빛 어린이집,"서울특별시 성동구 행당로 79 110동 102호(행당동, 대림아파트)",37.55773194,127.0272077,11040570,행당2동,11040,성동구
헤세드어린이집,서울특별시 성동구 독서당로 375 (응봉동),37.55018028,127.0294975,11040580,응봉동,11040,성동구
아이나무어린이집,"서울특별시 성동구 마장로42길 16 1동 106호(마장동, 세림아파트)",37.56499505,127.0451705,11040540,마장동,11040,성동구
본향어린이집,서울특별시 성동구 난계로 61  -46 본향어린이집,37.55757731,127.0229887,11040590,금호1가동,11040,성동구
두리두리어린이집,"서울특별시 성동구 왕십리로31나길 22 3동 109호(하왕십리동, 한신무학아파트)",37.56257201,127.0281483,11040520,왕십리2동,11040,성동구
구립 성수어린이집,서울특별시 성동구 광나루로2길 14 (성수동2가),37.54948034,127.0532689,11040680,성수2가3동,11040,성동구
곤지잼잼 어린이집,"서울특별시 성동구 성수동2가 성수일로10길 33 1층 (성수동2가, 성락교회)",37.54642411,127.0542261,11040680,성수2가3동,11040,성동구
구립 금사어린이집,서울특별시 성동구 독서당로46길 26 (금호동4가),37.54715933,127.022319,11040620,금호4가동,11040,성동구
구립 성모어린이집,서울특별시 성동구 청계천로 506 (성동종합사회복지관3층),37.57046833,127.0338088,11040540,마장동,11040,성동구
피노키오어린이집,서울특별시 성동구 용답중앙15길 10 (용답동),37.56443411,127.0538392,11040700,용답동,11040,성동구
구립 송화어린이집,서울특별시 성동구 송정18가길 29 (송정동),37.55493618,127.0692508,11040690,송정동,11040,성동구
성호 어린이집,서울특별시 성동구 금호산12길 10 (금호동3가),37.55165106,127.0202583,11040720,금호2·3가동,11040,성동구
구립 성일어린이집,서울특별시 성동구 왕십리로16길 12-21 (성수동1가),37.55048442,127.0464784,11040660,성수1가2동,11040,성동구
구립 도선어린이집,서울특별시 성동구 왕십리로30길 17-1,37.56607826,127.0305964,11040710,왕십리도선동,11040,성동구
구립 금호어린이집,서울특별시 성동구 금호동2가 매봉18길 125 금호어린이집,37.55693619,127.0188268,11040720,금호2·3가동,11040,성동구
구립 행응어린이집,서울특별시 성동구 독서당로63길 34 (행당동),37.55314657,127.031151,11040570,행당2동,11040,성동구
구립 금일어린이집,서울특별시 성동구 난계로 18 (금호동1가),37.55368497,127.0248605,11040590,금호1가동,11040,성동구
구립 대현어린이집,서울특별시 성동구 행당로 15 (금호동1가),37.55486873,127.0216773,11040590,금호1가동,11040,성동구
구립 금봉어린이집,서울특별시 성동구 독서당로57가길 24 금봉어린이집,37.55361447,127.0277837,11040590,금호1가동,11040,성동구
구립 금옥어린이집,서울특별시 성동구 매봉18길 1 (옥수동),37.54955905,127.0127112,11040730,옥수동,11040,성동구
구립 동호어린이집,서울특별시 성동구 금호동3가 금호산9길 9 (금호동3가),37.54997053,127.0191113,11040720,금호2·3가동,11040,성동구
구립 무학어린이집,서울특별시 성동구 난계로 114-31 금호베스트빌아파트 임대관리동 (하왕십리동),37.56132356,127.025791,11040520,왕십리2동,11040,성동구
구립 홍익어린이집,서울특별시 성동구 마장로 141 (홍익동),37.56787393,127.0255271,11040710,왕십리도선동,11040,성동구
구립 마장어린이집,서울특별시 성동구 마장로44길 10 (마장동),37.56642292,127.0454704,11040540,마장동,11040,성동구
구립 서마어린이집,서울특별시 성동구 청계천로 546 (마장동),37.57169914,127.0368947,11040540,마장동,11040,성동구
