기준일ID,시간대구분,행정동코드,총생활인구수
20260601,19,11200520,14691.5124
20260601,19,11200535,22165.776
20260601,19,11200540,17917.7416
20260601,19,11200550,30469.4137
20260601,19,11200560,48102.5499
20260601,19,11200570,15777.3179
20260601,19,11200580,9076.9281
20260601,19,11200590,12654.7168
20260601,19,11200615,17764.3442
20260601,19,11200620,11551.7058
20260601,19,11200645,28644.0642
20260601,19,11200650,17504.5534
20260601,19,11200660,25051.4448
20260601,19,11200670,17442.4739
20260601,19,11200690,40097.1129
20260601,19,11200720,8632.151
20260601,19,11200790,16724.5989
20260601,20,11200520,15671.0682
20260601,20,11200535,21982.2115
20260601,20,11200540,18138.5636
20260601,20,11200550,29258.1607
20260601,20,11200560,46480.2359
20260601,20,11200570,16574.3678
20260601,20,11200580,9969.3996
20260601,20,11200590,12674.1622
20260601,20,11200615,18570.2274
20260601,20,11200620,11753.0129
20260601,20,11200645,27989.2643
20260601,20,11200650,16650.3097
20260601,20,11200660,22877.8704
20260601,20,11200670,16756.0341
20260601,20,11200690,34904.9295
20260601,20,11200720,8876.2418
20260601,20,11200790,16835.1714
20260601,21,11200520,16338.64
20260601,21,11200535,22131.2731
20260601,21,11200540,18960.4005
20260601,21,11200550,27483.2139
20260601,21,11200560,43363.6843
20260601,21,11200570,17454.173
20260601,21,11200580,10584.0487
20260601,21,11200590,13153.4381
20260601,21,11200615,19462.3161
20260601,21,11200620,12186.6644
20260601,21,11200645,28305.1164
20260601,21,11200650,15703.5461
20260601,21,11200660,21001.7081
20260601,21,11200670,15873.1623
20260601,21,11200690,30469.2622
20260601,21,11200720,9140.6837
20260601,21,11200790,16946.7975
20260601,22,11200520,17082.0036
20260601,22,11200535,22431.8276
20260601,22,11200540,19801.6247
20260601,22,11200550,26011.1239
20260601,22,11200560,41021.5572
20260601,22,11200570,18208.5945
20260601,22,11200580,11243.3318
20260601,22,11200590,13593.741
20260601,22,11200615,19635.6869
20260601,22,11200620,12350.5841
20260601,22,11200645,28959.8506
20260601,22,11200650,15119.9511
20260601,22,11200660,19730.7767
20260601,22,11200670,15808.8282
20260601,22,11200690,27139.6684
20260601,22,11200720,9436.331
20260601,22,11200790,16849.7836
20260601,23,11200520,17163.6756
20260601,23,11200535,20342.8832
20260601,23,11200540,20194.8447
20260601,23,11200550,23281.6365
20260601,23,11200560,40781.1369
20260601,23,11200570,20383.6101
20260601,23,11200580,12913.2076
20260601,23,11200590,14353.7628
20260601,23,11200615,21184.3802
20260601,23,11200620,11084.1736
20260601,23,11200645,27645.9207
20260601,23,11200650,13569.1083
20260601,23,11200660,16708.2025
20260601,23,11200670,15606.2139
20260601,23,11200690,27620.0134
20260601,23,11200720,10742.1457
20260601,23,11200790,16007.3919
20260602,0,11200520,17388.5502
20260602,0,11200535,20628.8594
20260602,0,11200540,20318.7442
20260602,0,11200550,22727.2684
20260602,0,11200560,38073.0058
20260602,0,11200570,20486.4373
20260602,0,11200580,13027.564
20260602,0,11200590,14283.6615
20260602,0,11200615,21337.1273
20260602,0,11200620,11065.9672
20260602,0,11200645,27364.9377
20260602,0,11200650,13526.8605
20260602,0,11200660,16792.4174
20260602,0,11200670,15519.6881
20260602,0,11200690,26637.7225
20260602,0,11200720,10659.2413
20260602,0,11200790,16267.7694
20260602,1,11200520,17443.375
20260602,1,11200535,20742.2485
20260602,1,11200540,20475.677
20260602,1,11200550,22713.5756
20260602,1,11200560,36878.2154
20260602,1,11200570,20536.1124
20260602,1,11200580,13000.0252
20260602,1,11200590,14132.1316
20260602,1,11200615,21439.936
20260602,1,11200620,11163.0003
20260602,1,11200645,27314.735
20260602,1,11200650,13561.1269
20260602,1,11200660,16699.4988
20260602,1,11200670,15457.5157
20260602,1,11200690,26353.9271
20260602,1,11200720,10828.3346
20260602,1,11200790,16254.1367
20260602,2,11200520,17679.2714
20260602,2,11200535,20838.8022
20260602,2,11200540,20488.16
20260602,2,11200550,22378.8683
20260602,2,11200560,36515.8615
20260602,2,11200570,20557.293
20260602,2,11200580,13031.2626
20260602,2,11200590,14270.743
20260602,2,11200615,21541.8183
20260602,2,11200620,11179.8104
20260602,2,11200645,27198.7242
20260602,2,11200650,13917.4243
20260602,2,11200660,16652.7452
20260602,2,11200670,15362.9649
20260602,2,11200690,25601.8255
20260602,2,11200720,10901.55
20260602,2,11200790,16368.9993
20260602,3,11200520,17579.9848
20260602,3,11200535,21153.4598
20260602,3,11200540,20590.0469
20260602,3,11200550,22346.336
20260602,3,11200560,36210.4555
20260602,3,11200570,20478.7535
20260602,3,11200580,13046.5786
20260602,3,11200590,14335.3695
20260602,3,11200615,21234.9307
20260602,3,11200620,11034.0255
20260602,3,11200645,27356.6023
20260602,3,11200650,13919.4805
20260602,3,11200660,16738.2106
20260602,3,11200670,15479.1308
20260602,3,11200690,25274.5286
20260602,3,11200720,10779.6703
20260602,3,11200790,16403.1442
20260602,4,11200520,17676.3861
20260602,4,11200535,21303.8028
20260602,4,11200540,20522.6805
20260602,4,11200550,22284.0855
20260602,4,11200560,36015.3794
20260602,4,11200570,20640.1297
20260602,4,11200580,13036.8898
20260602,4,11200590,14147.7569
20260602,4,11200615,21325.0397
20260602,4,11200620,11052.986
20260602,4,11200645,27589.0637
20260602,4,11200650,14093.8879
20260602,4,11200660,16885.7258
20260602,4,11200670,15398.5835
20260602,4,11200690,25184.7299
20260602,4,11200720,10861.6574
20260602,4,11200790,16262.0585
20260602,5,11200520,17542.8128
20260602,5,11200535,21161.3232
20260602,5,11200540,21167.6771
20260602,5,11200550,22867.1203
20260602,5,11200560,37087.069
20260602,5,11200570,20129.9455
20260602,5,11200580,12930.8239
20260602,5,11200590,14082.2898
20260602,5,11200615,20877.0655
20260602,5,11200620,11272.4559
20260602,5,11200645,28496.3796
20260602,5,11200650,14581.9274
20260602,5,11200660,17485.444
20260602,5,11200670,15559.466
20260602,5,11200690,25488.7024
20260602,5,11200720,10964.1984
20260602,5,11200790,17148.447
20260602,6,11200520,17069.1757
20260602,6,11200535,21247.4428
20260602,6,11200540,21463.805
20260602,6,11200550,23886.2974
20260602,6,11200560,38338.3347
20260602,6,11200570,19377.018
20260602,6,11200580,12284.8883
20260602,6,11200590,13730.6174
20260602,6,11200615,20109.5772
