NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,정류소타입,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
103000137,4239,뚝섬역4번출구,127.0492756444,37.5468001934,일반차로,11040660,성수1가2동,11040,성동구
103000138,4240,성수역1번출구,127.0538293527,37.5454196769,일반차로,11040680,성수2가3동,11040,성동구
103000139,4241,SK테크노빌딩앞,127.050228,37.545888,일반차로,11040680,성수2가3동,11040,성동구
103000140,4242,SK테크노빌딩앞,127.0500259308,37.545769848,일반차로,11040660,성수1가2동,11040,성동구
103000141,4243,경동초등학교입구,127.0494809367,37.5437724292,일반차로,11040650,성수1가1동,11040,성동구
103000142,4244,경동초등학교입구,127.049212934,37.5433912967,일반차로,11040650,성수1가1동,11040,성동구
103000143,4245,경일초등학교앞,127.0482363415,37.5407684319,일반차로,11040650,성수1가1동,11040,성동구
103000144,4246,경일초등학교앞,127.0481685479,37.540919377,일반차로,11040650,성수1가1동,11040,성동구
103000145,4247,한양여대앞,127.0503,37.55951,일반차로,11040550,사근동,11040,성동구
103000150,4252,도선고등학교.꽃재교회,127.0277827978,37.5670932118,일반차로,11040710,왕십리도선동,11040,성동구
103900215,4253,성수역4번출구,127.054582,37.544788,일반차로,11040680,성수2가3동,11040,성동구
103000152,4254,리버하우스,127.0510060889,37.5509002648,일반차로,11040660,성수1가2동,11040,성동구
103000153,4255,리버하우스,127.0506905447,37.5512302013,일반차로,11040660,성수1가2동,11040,성동구
103900213,4256,성수사거리,127.062352,37.542562,일반차로,11040680,성수2가3동,11040,성동구
103900214,4257,성수사거리,127.0623621248,37.5427980761,일반차로,11040680,성수2가3동,11040,성동구
103000156,4258,성동제일새마을금고,127.0471032979,37.560811596,일반차로,11040550,사근동,11040,성동구
103000157,4259,성동제일새마을금고,127.0473012813,37.560884127,일반차로,11040550,사근동,11040,성동구
103000159,4261,청계9가.텐즈힐2단지정문앞,127.0255654313,37.570749453,일반차로,11040710,왕십리도선동,11040,성동구
103000162,4264,뚝섬서울숲,127.0375618762,37.5434527836,일반차로,11040650,성수1가1동,11040,성동구
103000163,4265,서울숲1번출입구,127.0426958799,37.5422230617,일반차로,11040650,성수1가1동,11040,성동구
103000164,4266,서울숲1번출입구,127.042974358,37.5419781098,일반차로,11040650,성수1가1동,11040,성동구
103000165,4267,용답휴식공원,127.0480538231,37.5693121111,일반차로,11040700,용답동,11040,성동구
103000166,4268,용답휴식공원,127.0479373245,37.5695541839,일반차로,11040700,용답동,11040,성동구
103000167,4269,성수2가3동주민센터,127.0542376417,37.5504251323,일반차로,11040690,송정동,11040,성동구
103000168,4270,극동그린아파트앞,127.0113916813,37.5420008413,일반차로,11040730,옥수동,11040,성동구
103000169,4271,마장역,127.0430338383,37.5663469729,일반차로,11040540,마장동,11040,성동구
103000170,4272,행당신동아.행당푸르지오아파트,127.0340192689,37.5561408382,일반차로,11040570,행당2동,11040,성동구
103000171,4273,숭신초등학교,127.028195858,37.5671676226,일반차로,11040710,왕십리도선동,11040,성동구
103000172,4275,극동아파트,127.0239338279,37.5580974527,일반차로,11040520,왕십리2동,11040,성동구
103000173,4276,풍림아파트,127.0239062231,37.5591427175,일반차로,11040520,왕십리2동,11040,성동구
103000174,4277,벽산아파트,127.0256885739,37.555602288,일반차로,11040570,행당2동,11040,성동구
103000175,4278,대림아파트,127.0249260274,37.5565738309,일반차로,11040570,행당2동,11040,성동구
103000176,4279,행당역,127.0290982639,37.557000896,일반차로,11040570,행당2동,11040,성동구
103000177,4280,행당역,127.0287643907,37.557079373,일반차로,11040570,행당2동,11040,성동구
103000178,4281,무학중학교,127.0330162995,37.5583911544,일반차로,11040560,행당1동,11040,성동구
103000179,4282,극동그린아파트,127.011904958,37.5420646255,일반차로,11040730,옥수동,11040,성동구
103000183,4286,성수동차고지,127.055682,37.535793,일반차로,11040670,성수2가1동,11040,성동구
103000185,4288,성수두산위브아파트,127.0585185177,37.5365921538,일반차로,11040670,성수2가1동,11040,성동구
103000186,4289,왕십리자이.신당현대아파트,127.02363,37.560847,일반차로,11040520,왕십리2동,11040,성동구
103000187,4290,왕십리자이.신당현대아파트,127.024102104,37.5611519007,일반차로,11040520,왕십리2동,11040,성동구
103000188,4291,성수두산위브아파트,127.058488,37.536507,일반차로,11040670,성수2가1동,11040,성동구
103000189,4293,우리은행화양동지점,127.0661376875,37.548116421,일반차로,11040680,성수2가3동,11040,성동구
103000191,4295,황학교.텐즈힐몰,127.0236037286,37.5700517505,일반차로,11040710,왕십리도선동,11040,성동구
105000455,4298,마장동주민센터,127.0446425019,37.5670632137,일반차로,11040540,마장동,11040,성동구
103000293,4301,왕십리광장.왕십리역7번출구,127.0368888269,37.5611283256,일반차로,11040560,행당1동,11040,성동구
103000292,4302,왕십리광장.왕십리역4번출구,127.037133352,37.561364441,일반차로,11040560,행당1동,11040,성동구
103000297,4303,한양대후문앞,127.0496759962,37.5556432919,일반차로,11040550,사근동,11040,성동구
103000295,4304,왕십리도선동주민센터,127.0244126998,37.5678169566,일반차로,11040710,왕십리도선동,11040,성동구
103000296,4305,한양여대앞,127.050619338,37.5592243864,일반차로,11040550,사근동,11040,성동구
103000505,4306,행당중학교,127.043024,37.553781,일반차로,11040550,사근동,11040,성동구
103000516,4307,살곶이체육공원앞,127.05101917,37.5563590432,일반차로,11040550,사근동,11040,성동구
103900152,4500,송정동현대아이파크아파트,127.0686200823,37.5521871167,마을버스,11040690,송정동,11040,성동구
103900149,4501,극동아파트5동,127.0110790155,37.5431595377,마을버스,11040730,옥수동,11040,성동구
103900142,4502,대우아파트관리실,127.0199839497,37.5462141244,마을버스,11040620,금호4가동,11040,성동구
