기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20260501,03,11170630,24899.8897,1508.0707,809.9636,694.2007,457.1253,458.679,467.6546,826.826,1026.5266,1092.9175,988.7242,978.3665,673.313,464.298,1026.0985,1309.6366,676.4826,633.498,586.0157,523.1403,631.7235,1164.0227,1261.4088,1353.0253,1181.8359,1039.0057,843.9985,575.3391,1647.9941
20260501,03,11170640,7298.6052,218.1374,76.2885,116.2137,179.156,200.0451,240.3601,427.7994,382.721,281.0182,273.1218,294.2185,252.9908,178.7075,306.6621,138.2797,62.8546,150.2996,272.9599,225.9587,297.8367,406.2296,339.9634,288.0612,249.5745,293.864,271.6532,247.3206,626.31
20260501,03,11170650,12874.5383,94.6891,50.7046,255.5163,1130.9801,1442.9876,1164.8807,902.9659,493.0907,589.2748,304.8765,211.5584,193.2271,129.3343,318.7011,166.0549,73.8022,265.2216,824.8809,1065.2864,735.4135,512.7723,337.5146,320.8133,223.096,264.5021,191.8692,161.755,448.7691
20260501,03,11170660,11753.6192,324.4954,147.155,171.9267,270.2163,404.3451,541.9198,643.2023,740.403,575.9296,434.5065,366.0216,237.5395,176.4329,446.0503,357.9202,176.3284,220.4489,365.6883,520.7116,658.7379,713.9035,667.8809,675.742,409.2173,386.411,295.9383,242.7649,581.7817
20260501,03,11170685,20595.1842,810.1508,347.7593,368.0346,712.1217,881.0033,970.8243,1146.2668,1122.3886,1123.4301,785.7695,794.3809,499.5131,298.5295,573.2635,486.0045,217.4008,393.901,607.0937,826.7748,900.7746,1178.6868,1287.3633,900.0208,700.5215,681.9708,566.0961,414.4736,1000.6668
20260501,03,11170690,13270.6732,549.1097,395.9716,496.9641,273.8146,295.7968,344.5791,489.5463,647.2578,698.6362,616.5418,539.5459,409.3269,241.8843,539.7663,494.9085,316.1912,382.1425,402.1152,342.3865,365.031,494.7995,673.6591,728.3754,498.7162,518.449,404.0622,284.4276,826.6674
20260501,03,11170700,6421.7066,154.5767,104.9872,243.4207,161.025,249.5593,194.5282,274.6789,234.6457,322.1396,270.1033,271.339,228.2257,143.1164,319.462,104.5859,66.742,119.0073,183.2805,214.0288,226.7338,232.6783,305.5188,341.5907,278.3472,238.7446,276.8419,176.0426,485.7567
20260501,04,11170510,13624.1433,368.4071,203.6085,302.6758,270.5747,495.6701,581.9019,679.8631,590.1583,552.2776,495.8199,503.3635,414.2604,287.1997,609.7943,433.9445,229.3379,276.677,417.3299,563.3102,604.0035,745.8478,530.2445,612.3804,472.0142,522.0628,473.3147,405.8145,982.2863
20260501,04,11170520,11040.351,181.1189,97.3827,230.3581,292.9894,500.0297,572.6143,696.0983,497.3509,529.3316,405.3379,372.8016,208.0947,200.5662,405.7497,217.4277,122.8939,283.0895,410.8144,551.4784,611.2164,618.072,454.4119,492.7834,356.5592,306.9139,333.6155,275.0207,816.2301
20260501,04,11170530,9075.0655,123.7803,59.7263,192.168,356.1258,458.2966,481.3083,511.1019,426.7647,355.8113,398.0197,478.9959,378.0049,214.5995,355.4041,119.4542,54.3856,198.3171,461.904,524.6562,419.7959,459.9317,313.4044,344.2838,267.0515,282.5364,222.3687,173.7943,443.0733
20260501,04,11170555,21722.6994,331.5862,238.7415,366.8638,601.8378,943.4814,1114.485,1156.8621,792.5287,776.7775,791.5026,686.4647,517.6559,361.7241,647.4242,337.5497,182.9639,729.097,2099.8113,1568.1022,1297.3949,1118.0666,818.1528,738.2607,617.8751,728.0589,572.1288,393.5832,1193.7191
20260501,04,11170560,18198.5102,625.323,199.8072,314.8496,310.2855,649.6721,957.821,1167.687,968.9514,800.6358,648.5066,517.5168,409.5893,217.4039,480.4493,683.688,202.4566,283.6472,775.2404,1071.243,1250.443,1390.3647,948.5347,719.8482,632.2422,536.306,477.8355,271.283,686.8787
20260501,04,11170570,15670.1171,517.697,231.4839,343.8281,266.3744,497.2274,668.3072,675.0621,610.1703,716.9355,508.0039,641.4519,443.5531,297.3517,702.9004,367.1864,293.8737,328.2752,599.9999,710.0578,822.359,850.0434,747.1028,618.125,604.7733,630.8571,550.8274,397.2233,1029.0667
20260501,04,11170580,10155.1578,257.3875,151.9885,185.862,225.8511,370.6188,439.721,549.7223,434.7613,440.7206,352.8492,335.0132,253.6331,161.9154,372.966,346.32,163.397,237.2301,421.3228,481.6746,565.294,566.0404,484.5615,434.5339,358.409,395.6614,323.8381,237.7153,606.1504
20260501,04,11170590,8247.8287,287.1397,129.7117,227.8148,163.8809,245.6767,314.3466,407.4063,354.5918,330.1881,274.8837,327.1685,230.1769,169.96,286.4631,288.0935,126.9264,150.5249,238.6523,331.3703,434.1061,503.4177,316.5595,321.8996,276.8965,387.6654,323.0716,222.1298,577.1062
20260501,04,11170625,33987.8127,917.4803,387.1226,769.3057,1951.5293,1210.6085,1635.8735,1879.3629,1660.7589,1677.0395,1210.843,1363.2899,886.5972,510.7611,1021.1193,953.1948,354.7761,526.2864,1149.9864,1537.1058,1867.5393,2114.2193,1610.5695,1412.7963,1243.9857,1128.3577,920.8437,633.1788,1453.2812
20260501,04,11170630,24923.3084,1452.0019,779.8495,704.4036,469.2886,476.9638,466.6114,825.3735,1020.6469,1100.2036,973.1486,976.9734,675.6543,460.8264,1068.4472,1325.8324,684.8486,631.2861,571.6135,518.8805,653.1746,1165.1503,1268.0973,1357.9196,1184.7713,1013.5297,843.911,563.6347,1690.2672
20260501,04,11170640,7532.2797,293.8075,102.7525,119.8279,180.892,202.4988,239.0421,436.713,356.1128,317.2204,290.5438,294.6683,259.3222,170.5282,326.1271,152.3151,69.2341,142.263,270.3068,231.3939,320.6121,416.1923,346.0014,293.9441,242.3486,293.632,273.9908,250.532,639.4573
20260501,04,11170650,11503.0871,106.0819,56.805,225.8942,923.0478,1162.1113,978.9588,805.5938,487.1565,557.7802,315.2038,204.7177,197.4816,125.4876,302.3852,160.095,71.1532,245.2799,710.478,828.0025,647.599,442.1704,313.2882,328.4806,225.1608,261.1688,192.6562,162.5906,466.2586
20260501,04,11170660,11626.209,322.9086,146.435,179.5897,255.3323,406.8379,526.1697,657.3478,743.8974,593.3373,419.9155,341.5879,227.3512,175.6857,449.3693,342.2056,168.5868,229.4567,349.716,518.6436,649.6795,713.4638,646.978,669.8174,390.225,401.7091,302.4745,238.2267,559.2631
20260501,04,11170685,20468.5139,796.9056,342.0738,384.8793,684.6619,858.888,943.1087,1125.0604,1117.7632,1111.1521,815.8099,818.5781,516.3728,312.9727,565.9051,513.4396,229.6735,364.9268,587.3902,775.2164,874.2864,1158.5676,1289.9738,897.6632,724.8347,687.2601,562.1324,414.9324,994.0829
