도로명주소,상권업종대분류명,경도,위도
서울특별시 용산구 대사관로19길 7,소매,127.0036431,37.53384052
서울특별시 용산구 새창로14길 16,음식,126.95852,37.53863563
서울특별시 용산구 한강대로 283,예술·스포츠,126.9719488,37.54344191
서울특별시 용산구 신흥로26길 35,음식,126.9843842,37.54536334
서울특별시 용산구 회나무로10길 5,음식,126.9891264,37.53896677
서울특별시 용산구 서빙고로91나길 112,음식,126.9962781,37.52556933
서울특별시 용산구 한강대로21길 17-3,음식,126.9640586,37.52673522
서울특별시 용산구 효창원로 112,예술·스포츠,126.9608737,37.53807781
서울특별시 용산구 이태원로 153,음식,126.9909939,37.53459708
서울특별시 용산구 신흥로 101-9,음식,126.9849048,37.54471469
서울특별시 용산구 이태원로54길 22,음식,127.0019914,37.53733645
서울특별시 용산구 한남대로18길 26,음식,127.0086553,37.53454304
서울특별시 용산구 원효로58길 40,음식,126.9636136,37.53447469
서울특별시 용산구 청파로 391,음식,126.9687419,37.55450537
서울특별시 용산구 원효로58길 31,음식,126.9636813,37.53492521
서울특별시 용산구 신흥로11길 7,숙박,126.9872248,37.54317425
서울특별시 용산구 우사단로10가길 10,음식,126.9970697,37.53366935
서울특별시 용산구 한강대로23길 55,음식,126.964736,37.5297718
서울특별시 용산구 원효로83길 13-5,음식,126.9675599,37.54000798
서울특별시 용산구 한강대로104가길 11-2,음식,126.9735534,37.54970422
서울특별시 용산구 백범로90길 26,음식,126.9687379,37.53689984
서울특별시 용산구 새창로 217,보건의료,126.9677791,37.53021416
서울특별시 용산구 우사단로10길 74,음식,126.9994004,37.53204759
서울특별시 용산구 청파로93길 49-6,음식,126.9661847,37.55344149
서울특별시 용산구 이태원로 228-1,음식,126.9992306,37.53545337
서울특별시 용산구 신흥로 78-2,음식,126.9864776,37.54516538
서울특별시 용산구 장문로6길 110,음식,126.9969455,37.5257946
서울특별시 용산구 이태원로54길 62-8,음식,127.0006902,37.53555248
서울특별시 용산구 이촌로 319,음식,126.9823199,37.51795459
서울특별시 용산구 원효로 137,음식,126.9584432,37.53423872
서울특별시 용산구 우사단로 47,음식,126.9954857,37.53435406
서울특별시 용산구 한강대로62길 45-17,음식,126.9738988,37.53270243
서울특별시 용산구 이촌로 260,음식,126.9762114,37.51857521
서울특별시 용산구 신흥로 150,음식,126.9816341,37.54665137
서울특별시 용산구 한강대로 69,음식,126.9648956,37.52704181
서울특별시 용산구 우사단로2길 20,음식,126.9978504,37.53051587
서울특별시 용산구 청파로49길 56,음식,126.9672182,37.54505348
서울특별시 용산구 회나무로 3,음식,126.9874066,37.53857917
서울특별시 용산구 이촌로88길 3,음식,126.9787114,37.5180531
서울특별시 용산구 후암로 107,소매,126.9735634,37.55346139
서울특별시 용산구 녹사평대로26길 24,음식,126.9916845,37.53093906
서울특별시 용산구 보광로59길 33,음식,126.9921254,37.53383131
서울특별시 용산구 한강대로62나길 6,음식,126.9741812,37.53421618
서울특별시 용산구 한남대로27가길 23,음식,127.0025797,37.53771485
서울특별시 용산구 새창로45길 20-1,음식,126.9634552,37.53454672
서울특별시 용산구 새창로 123,음식,126.9612027,37.53641107
서울특별시 용산구 새창로49길 19,음식,126.9635119,37.53434851
서울특별시 용산구 새창로35길 7,음식,126.9615422,37.53638415
서울특별시 용산구 한남대로42길 12,음식,127.0029646,37.5425352
서울특별시 용산구 대사관로 25,음식,127.0011993,37.53389463
서울특별시 용산구 한남대로10길 36,음식,127.0091642,37.53221842
서울특별시 용산구 만리재로 176,보건의료,126.9657884,37.55395494
서울특별시 용산구 신흥로 136-1,음식,126.9818947,37.54540803
서울특별시 용산구 후암로48길 1,음식,126.9768003,37.55284038
서울특별시 용산구 이촌로18길 15-12,음식,126.9552917,37.52567805
서울특별시 용산구 이태원로 244,음식,127.0005092,37.53648051
서울특별시 용산구 한강대로39길 10,음식,126.9689892,37.53125064
서울특별시 용산구 이촌로18길 16,음식,126.9549519,37.52625457
서울특별시 용산구 한강대로 202,음식,126.974633,37.53635165
서울특별시 용산구 한강대로 138,음식,126.9704599,37.53144022
서울특별시 용산구 녹사평대로46길 69,예술·스포츠,126.9903825,37.5379037
서울특별시 용산구 후암로57길 35-17,음식,126.9744014,37.55200196
서울특별시 용산구 한강대로 95,소매,126.9666597,37.5288173
서울특별시 용산구 한강대로7길 18-5,음식,126.9620119,37.52479742
서울특별시 용산구 보광로 26,음식,127.0005317,37.52679475
서울특별시 용산구 이태원로 174,음식,126.9932341,37.53428188
서울특별시 용산구 회나무로44길 40,음식,126.9953948,37.53957986
서울특별시 용산구 대사관로31길 20,음식,127.0060191,37.53412875
서울특별시 용산구 대사관로 66,소매,127.0053402,37.53317372
서울특별시 용산구 보광로 17,음식,127.0009163,37.52601087
서울특별시 용산구 회나무로28가길 7,음식,126.9922946,37.53883187
서울특별시 용산구 이태원로26길 15,음식,126.9933926,37.53378634
서울특별시 용산구 한강대로 306,음식,126.9722423,37.54549626
서울특별시 용산구 이태원로27가길 13,음식,126.9945805,37.53494869
서울특별시 용산구 우사단로 36,음식,126.9957346,37.53341703
서울특별시 용산구 이태원로19길 5,음식,126.9917633,37.53475931
서울특별시 용산구 녹사평대로40나길 16,음식,126.9883463,37.53511943
서울특별시 용산구 청파로71길 10,음식,126.9694117,37.54946896
서울특별시 용산구 한강대로77길 15,음식,126.9717797,37.54172096
서울특별시 용산구 대사관로30길 11-9,음식,127.005838,37.53286735
서울특별시 용산구 한강대로80길 11-6,음식,126.9736011,37.54287466
서울특별시 용산구 보광로60길 22,음식,126.9954631,37.53390356
서울특별시 용산구 청파로47길 26,음식,126.9690288,37.54488278
서울특별시 용산구 한강대로 283,소매,126.9719488,37.54344191
서울특별시 용산구 청파로 277,음식,126.9705001,37.54435157
서울특별시 용산구 청파로47길 56,음식,126.9673088,37.54493638
서울특별시 용산구 우사단로 2-1,음식,126.9969227,37.53058793
서울특별시 용산구 한강대로 100,음식,126.9686735,37.52879082
서울특별시 용산구 보광로60길 22,예술·스포츠,126.9954631,37.53390356
서울특별시 용산구 효창원로15길 26-4,음식,126.9536786,37.53641737
서울특별시 용산구 청파로47길 52,숙박,126.9676483,37.54497251
서울특별시 용산구 효창원로48길 6,음식,126.9609079,37.53757326
서울특별시 용산구 청파로 391,음식,126.9687419,37.55450537
서울특별시 용산구 회나무로 9,음식,126.9878592,37.53866932
서울특별시 용산구 후암로 80-1,소매,126.9766983,37.55311066
서울특별시 용산구 후암로57길 9,음식,126.9741294,37.55304706
서울특별시 용산구 회나무로 26,음식,126.989545,37.53930919
서울특별시 용산구 이태원로 242,음식,127.0003394,37.53625526
서울특별시 용산구 회나무로26길 3,소매,126.9916722,37.53949857
서울특별시 용산구 한강대로88길 11-10,음식,126.9731364,37.54495587
서울특별시 용산구 신흥로18길 4,소매,126.9858325,37.5457059
서울특별시 용산구 백범로87길 54,음식,126.9695742,37.53950395
서울특별시 용산구 이태원로54길 58-18,음식,127.0007807,37.53582278
서울특별시 용산구 이태원로27가길 45,음식,126.9927928,37.53488552
서울특별시 용산구 서빙고로 67,음식,126.9704059,37.5248629
서울특별시 용산구 이촌로77길 19,음식,126.9749212,37.5205121
서울특별시 용산구 한강대로40길 14,음식,126.9699739,37.53014266
서울특별시 용산구 한강대로23길 55,음식,126.964736,37.5297718
서울특별시 용산구 서빙고로 17,음식,126.96657,37.52690715
서울특별시 용산구 대사관로30길 30,음식,127.0054646,37.53192132
서울특별시 용산구 신흥로 145,음식,126.9816229,37.54611978
서울특별시 용산구 신흥로 99-1,음식,126.9848595,37.54508409
서울특별시 용산구 이촌로 248,음식,126.9750233,37.51940389
서울특별시 용산구 신흥로 55,음식,126.987485,37.54342656
서울특별시 용산구 신흥로 97-6,음식,126.9848595,37.54519221
서울특별시 용산구 새창로 217,보건의료,126.9677791,37.53021416
서울특별시 용산구 이태원로 220,음식,126.9984839,37.53481365
서울특별시 용산구 원효로 267-1,음식,126.9699242,37.54123396
서울특별시 용산구 유엔빌리지길 14,음식,127.0098319,37.53396631
서울특별시 용산구 한강대로15길 23,음식,126.9631765,37.52613128
서울특별시 용산구 이촌로75길 12,음식,126.9742651,37.52042186
서울특별시 용산구 신흥로12길 7,음식,126.988164,37.54347168
서울특별시 용산구 소월로2길 29,음식,126.9766755,37.55374135
서울특별시 용산구 이촌로14길 16,음식,126.9545776,37.52787623
