정류소명,경도,위도,월평균승객수
숙명여대도서관앞,126.9664465,37.54484124,15566.8
용산고등학교,126.9795092,37.5461364,15544.8
청파초등학교,126.9633755,37.54858348,15452.8
대한노인회중앙회,126.9576684,37.54378904,15423.6
후암약수터,126.9841669,37.54839526,15420.4
효창운동장.효창동주민센터,126.9617671,37.54220952,15377.4
이촌2동주민센터,126.955064,37.52773644,15291.2
남산교회입구,126.9866472,37.54467134,15151.6
만리시장입구,126.9630413,37.5515678,15019.8
서빙고동주민센터,126.9948813,37.520384,14979.4
용문시장,126.9613596,37.5359792,14878.2
서빙고동,126.992986,37.519851,14655.4
배문중고등학교,126.9636168,37.55037493,13812.4
청파동,126.970122,37.54899162,13680.6
한겨레신문사입구,126.9591929,37.54588062,13615.4
용산전자상가10동,126.9619641,37.5332725,13611
청암동강변삼성아파트,126.9482435,37.53461443,13410
만리동고개,126.9622626,37.55161892,13370.2
숙명여대입구,126.9696435,37.54488446,13054.6
후암삼거리,126.9759938,37.5534056,13041
효창공원역,126.9610379,37.53878602,12653.2
용산푸르지오써밋,126.9647596,37.52757562,12619
용산고등학교,126.9789525,37.54590833,12585.6
후암약수터,126.98432,37.54869,12406.4
산천동리버힐삼성아파트,126.9511923,37.53450034,12404.4
용산전자상가.전자랜드,126.9583364,37.53305612,12364.4
서계동.서울역공항철도15번출구,126.9693405,37.5524743,12357.6
문배동이안아파트앞,126.9707995,37.5383645,12220.8
우리들가정의원,126.9876592,37.54324231,12207
용산전자상가.전자랜드,126.9583252,37.53277906,12112.4
디지텍고등학교앞,126.9918569,37.53971398,12053
갑을빌딩,126.9720388,37.54909587,11902.2
용산전자상가12동,126.962169,37.53305741,11653
용암경로당입구,126.9869602,37.54109853,11636.8
용산역사박물관.용산철도고등학교,126.9671194,37.52530577,11538
용문시장.용문동새마을금고,126.9591968,37.53714921,11385.2
이촌역,126.9739086,37.52266892,11381.2
용산우체국,126.9703154,37.53137629,11206
남산야외식물원입구,126.992917,37.54250475,11189.6
후암동주민센터앞,126.9777058,37.54836448,10975
도원삼성래미안아파트,126.9572103,37.53962541,10655.2
이촌로입구.성촌공원앞,126.9543511,37.52974742,10575
청파시장,126.9698626,37.54867903,10571.6
동자경로당,126.9741955,37.55028671,10358.4
만리시장입구,126.9631453,37.55177599,10207.2
배문중고교,126.9637289,37.55038127,10134
숙대입구,126.9705229,37.54453055,9918.8
도원삼성래미안아파트,126.9574339,37.5397768,9917
남산교회입구,126.9866223,37.54455059,9856.6
용산전자상가입구,126.9619447,37.53466112,9772.6
한강대교북단,126.9635707,37.52496899,9726.6
한신아파트,127.0194078,37.5507583,9701.4
한남동하이페리온,127.0055474,37.52784398,9664.2
용암초등학교.이태원2동주민센터,126.9909321,37.54484967,9323
용암한신아파트,126.9874353,37.54207717,9077.6
용암경로당입구,126.9869184,37.54059662,8820.2
디지텍고등학교앞,126.991626,37.53980318,8657.8
용산고등학교,126.977563,37.54574,8617.8
녹사평역,126.9858713,37.53501104,8605.6
용산세무서,126.9701544,37.52362139,8458.2
중앙하이츠빌라앞,126.9600336,37.53801446,8353
남산야외식물원입구,126.9927902,37.54270388,7987.2
용문시장.용문동새마을금고,126.9595338,37.53707162,7863
대한노인회중앙회,126.9576287,37.54403681,7809.4
삼각지역,126.9732731,37.53450655,7671.6
용산세무서,126.969244,37.52373184,7612.4
산천동.성심여중고후문,126.9536425,37.53532039,7497
큰빛의집앞,126.9819077,37.54448328,7465.2
중앙하이츠빌라앞,126.9598809,37.53797386,7246.4
용산전자상가입구,126.9622225,37.53457017,7210
시장,126.9885516,37.53892255,6984
대성교회,126.988452,37.53869997,6903.8
신용산역5번출구,126.9676785,37.53003386,6889.6
신창동세방아파트,126.9549471,37.53583005,6873
서울시교육청.남영동주민센터,126.976572,37.545772,6863.2
용암한신아파트,126.9874137,37.54238805,6552.8
산천동.성심여중고후문,126.9533822,37.53540813,6526.6
효창공원앞역.이봉창역사울림관,126.9614323,37.53967102,6451
순천향병원,127.0048157,37.5332488,6294.2
큰빛의집앞,126.9819982,37.54454818,6171.8
용산전자상가17동,126.9660271,37.53377926,6067
군인아파트,126.9686942,37.46896724,5946.6
남영역.민주화운동기념관,126.971032,37.540813,5863.6
성도약국,126.9894308,37.53927766,5709.2
용암초등학교.이태원2동주민센터,126.990733,37.544673,5704.8
이촌로입구.성촌공원앞,126.9546065,37.53017103,5637.6
신창동세방아파트,126.9549576,37.53570832,5435.2
한강중학교,126.9913627,37.52511406,5334
남산맨션아파트.남산예술원,127.00204,37.544437,5065.6
신용산지하차도,126.9636682,37.53283488,4943.2
가야랑앞,126.9937523,37.54008896,4898.8
한신아파트,127.0192957,37.55075381,4815.6
원효풍전아파트,126.9559182,37.53274214,4751
성도약국,126.9895541,37.53945068,4688.8
남영역.민주화운동기념관,126.9706761,37.54057027,4613.4
가야랑앞,126.9936041,37.54019528,4576
군인아파트,126.9963177,37.52600406,4420.4
이촌119안전센터.성촌공원,126.9529475,37.53007998,4409.4
문배어린이공원,126.9697251,37.53693839,4315.6
서계동,126.969222,37.5516705,4260
용산경찰서,126.9698057,37.5410233,4020.4
문배동이안아파트앞,126.9710604,37.53887,3925.2
필리핀대사관,126.99516,37.54057021,3902.2
서빙고초등학교,126.9908894,37.52117112,3873.2
용산e편한세상,126.9672212,37.5344622,3855.2
한강대교스카이스위트,126.9608162,37.52133077,3784.4
청심경로당,126.9506907,37.53388792,3581.8
용산역3번출구.용산차고지,126.9642146,37.53180791,3500.8
서빙고초등학교,126.99061,37.52084129,3402.4
남이장군사당,126.957267,37.536539,3150.4
용산전자상가19동,126.9657072,37.53351349,3122.8
갈월동,126.9720931,37.54632411,3098.8
보광동주민센터,127.0000973,37.52614734,2973.8
원효우체국,126.9673538,37.53896727,2832
이태원역앞,126.9957,37.534339,2595.2
삼성테마트,126.9503849,37.53374669,2570.6
남이장군사당,126.9575932,37.53675446,2475.6
원효2동산호아파트후문,126.9500127,37.53226001,2348
